# INTPOS INTNEG X0 Y BIOMASS BIOMASSPVALUE NBSPECIES NBSPECIESPVALUE
0.01 0.01 0.2227 10 8.006254 0.002 14 0 
0.01 0.02 0.2227 10 7.927415 0.002 14 0 
0.01 0.05 0.2227 10 7.677157 0.006 14 0 
0.01 0.1 0.2227 10 7.221989 0.014 14 0 
0.01 0.2 0.2227 10 6.230245 0.13 14 0 
0.01 0.3 0.2227 10 6.19347 0.002 12 0.012 
0.01 0.4 0.2227 10 6.772679 0 12 0 
0.01 0.5 0.2227 10 7.583123 0 11 0 
0.01 0.6 0.2227 10 8.793123 0 11 0 
0.01 0.8 0.2227 10 14.93203 0.018 10 0.012 
0.01 0 0.2227 10 8.082574 0.28 14 0 
0.01 1 0.2227 10 191.393 0.01 10 0 
0.02 0.01 0.2227 10 8.019307 0.004 14 0 
0.02 0.02 0.2227 10 7.942931 0.002 14 0 
0.02 0.05 0.2227 10 7.699714 0.006 14 0 
0.02 0.1 0.2227 10 7.254692 0.018 14 0 
0.02 0.2 0.2227 10 6.273967 0.148 14 0 
0.02 0.3 0.2227 10 6.20378 0.002 12 0.012 
0.02 0.4 0.2227 10 6.783102 0 11 0.002 
0.02 0.5 0.2227 10 7.59333 0 11 0 
0.02 0.6 0.2227 10 8.802439 0 11 0 
0.02 0.8 0.2227 10 14.93285 0.02 10 0.014 
0.02 0 0.2227 10 8.093134 0.256 14 0 
0.02 1 0.2227 10 190.3297 0.01 10 0 
0.05 0.01 0.2227 10 8.061496 0.026 14 0 
0.05 0.02 0.2227 10 7.991515 0.01 14 0 
0.05 0.05 0.2227 10 7.767587 0.014 14 0 
0.05 0.1 0.15 10 9.896675 0.036 14 0 
0.05 0.1 0.15 11 9.935927 0.038 14 0 
0.05 0.1 0.15 13 9.954896 0.046 14 0 
0.05 0.1 0.15 14 9.944504 0.042 14 0 
0.05 0.1 0.15 5 8.849444 0.012 14 0 
0.05 0.1 0.15 7 9.540358 0.03 14 0 
0.05 0.1 0.15 9 9.827246 0.036 14 0 
0.05 0.1 0.1 10 12.82102 0.022 14 0 
0.05 0.1 0.1 11 12.99851 0.02 14 0 
0.05 0.1 0.1 13 13.24886 0.022 14 0 
0.05 0.1 0.1 14 13.33558 0.022 14 0 
0.05 0.1 0.1 5 10.69559 0.022 14 0 
0.05 0.1 0.1 7 11.92305 0.02 14 0 
0.05 0.1 0.1 9 12.59484 0.022 14 0 
